CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
3509504,Aquitania,Olarte El,-72.9333333,5.4833333,642,10.5,3030
5205507,Consaca,Ospina Perez,-77.4666667,1.2666667,1435,19.2,1700
2312508,Otanche,Otanche,-74.18458,5.66651,3242,22.4,1070
3502503,Puerto Lopez,Pachaquiaro,-73.18048,4.07042,2403,26.2,200
2906502,Zona Bananera,Padelma-Patuca,-74.20214,10.69712,1128,27.6,20
2112502,Palermo,Palermo,-75.43075,2.8860833,1388,26.3,550
2601502,Purace,Paletara,-76.44108,2.17424,1222,11.1,2900
2405504,Palmar,Palmar El,-73.2954167,6.5525,1893,25.7,875
2607501,Palmira,Palmira Ica,-76.3184722,3.5161667,1026,23.7,1013
2120530,Bogota,Palo Blanco,-74.05,4.5166667,1405,7.2,3256
2119506,Pandi,Pandi,-74.4843056,4.1898056,1189,23.6,950
2120537,Zipaquira,Pantano Redondo,-74.0333333,5.0333333,1296,9.2,3000
2612508,Buenavista,Paraguaycito,-75.7333333,4.3833333,2120,21.7,1250
5205502,Tuquerres,Paraiso El,-77.5736111,1.5558333,1003,10.8,3120
2101503,San Agustin,Parque Arqueolog,-76.2984722,1.8910833,1436,17.8,1720
1501510,Santa Marta,Parque Tayrona,-73.9166667,11.2833333,1590,26.3,40
2401517,Villa de Leyva,Pasadena,-73.58006,5.64985,773,18.1,2133
1506504,Fonseca,Paulina La,-72.8166667,10.9166667,793,27.7,170
2124501,Ibague,Perales Hato Opi,-75.07395,4.43222,1371,25,750
1603502,Tibu,Petrolea,-72.5792222,8.4851667,2607,27.9,62
2119511,Cabrera,Pe?as Blancas,-74.4389167,3.9618611,851,16.4,2050
2308511,Penol,Pe?ol El,-75.2413889,6.2141667,2419,18.1,1915
2308517,Penol,Pe?ol El,-75.2166667,6.2333333,2642,17.1,1880
2620505,Fredonia,Piamonte,-75.6333333,5.9,2164,20.5,1330
2502521,Pinillos,Pinillos,-74.4599,8.91966,1943,28.6,10
2620507,Venecia,Plata La,-75.81625,5.97492,1967,25.7,750
1115501,Acandi,Playa La,-77.28976,8.51683,2181,26.2,2
2111507,Tello,Portal El,-75.07675,3.0177222,1354,22.1,1300
2110504,Campoalegre,Potosi Hda,-75.30225,2.6996111,1272,25.6,550
2605505,Jamundi,Potrerito,-76.58459,3.24561,2027,23.6,1010
2906503,Zona Bananera,Prado Sevilla,-74.15763,10.76856,1289,27.4,25
2903503,Maria La Baja,Presa Ay Grande,-75.32827,9.8885,1604,27.9,60
1309502,Coloso,Primates,-75.3333333,9.5166667,1214,26.9,200
2120557,Subachoque,Primavera La,-74.2166667,4.85,873,12,2590
